AE	23.466	54.547
AF	34.164	66.497
AL	40.655	20.114
AM	40.459	44.801
AO	-12.183	17.984
AQ	-79.843	35.885
AR	-33.501	-64.173
AT	47.519	14.131
AU	-24.13	134.05
AZ	40.402	47.211
BA	44.091	18.068
BD	24.215	89.685
BE	50.785	4.8
BF	12.673	-1.364
BG	42.509	25.157
BI	-3.333	29.917
BJ	10.325	2.352
BN	4.448	114.552
BO	-16.666	-64.593
BR	-12.099	-49.559
BS	26.402	-77.147
BT	27.537	90.04
BW	-22.103	24.179
BY	53.822	28.418
BZ	17.202	-88.713
CA	60.324	-101.911
CD	-1.858	23.459
CF	6.99	20.907
CG	0.142	15.9
CH	46.719	7.464
CI	7.491	-5.569
CL	-38.152	-72.319
CM	4.585	12.473
CN	32.498	106.337
CO	3.373	-73.174
CR	10.065	-84.078
CU	21.334	-77.976
CY	34.913	33.084
CZ	49.882	15.378
DE	50.962	9.678
DJ	11.976	42.499
DK	55.967	9.018
DO	19.104	-70.654
DZ	27.397	2.808
EC	-1.259	-78.188
EE	58.725	25.867
EG	26.186	29.446
EH	23.968	-12.63
ER	15.787	38.286
ES	40.091	-3.465
ET	8.033	39.089
FI	63.252	27.276
FJ	-17.826	177.975
FK	-51.609	-58.739
FR	46.696	2.552
GA	-0.438	11.836
GB	54.403	-2.116
GE	41.87	43.736
GH	7.718	-1.037
GL	74.319	-39.335
GM	13.642	-14.998
GN	10.619	-10.016
GQ	2.333	8.99
GR	39.493	21.726
GT	14.982	-90.497
GW	12.164	-14.524
GY	5.124	-58.943
HN	14.795	-86.888
HR	45.806	16.372
HT	19.264	-72.224
HU	47.087	19.448
ID	-0.954	101.893
IE	53.079	-7.799
IL	30.911	34.848
IN	22.687	79.358
IQ	33.094	43.262
IR	32.166	54.931
IS	64.779	-18.674
IT	44.732	11.077
JM	18.137	-77.319
JO	30.805	36.376
JP	36.143	138.442
KE	0.549	37.908
KG	41.669	74.533
KH	12.648	104.505
KP	39.885	126.445
KR	36.385	128.13
KW	29.414	47.314
KZ	49.054	68.686
LA	19.432	102.534
LB	34.133	35.993
LK	7.581	80.705
LR	6.447	-9.46
LS	-29.48	28.247
LT	55.104	24.09
LU	49.734	6.078
LV	57.067	25.459
LY	26.639	18.011
MA	31.651	-7.187
MD	47.435	28.488
ME	42.803	19.144
MG	-18.628	46.704
MK	41.558	21.556
ML	18.693	-2.038
MM	21.574	95.804
MN	45.997	104.15
MR	19.587	-9.74
MW	-13.387	33.608
MX	23.92	-102.289
MY	2.529	113.837
MZ	-13.943	37.838
NA	-20.575	17.108
NC	-21.065	165.084
NE	17.446	9.504
NG	9.44	7.503
NI	12.671	-85.069
NL	52.422	5.611
NO	61.357	9.68
NP	28.298	83.64
NZ	-39.759	172.787
OM	22.12	57.337
PA	8.722	-80.352
PE	-12.977	-72.9
PG	-5.695	143.91
PH	11.198	122.465
PK	29.328	68.546
PL	51.99	19.49
PR	18.235	-66.481
PS	32.047	35.291
PT	39.607	-8.272
PY	-21.675	-60.146
QA	25.237	51.144
RO	45.733	24.973
RS	44.19	20.788
RU	58.249	44.686
RW	-1.897	30.104
SA	23.807	44.7
SB	-8.03	159.17
SD	16.331	29.261
SE	65.859	19.017
SI	46.061	14.915
SK	48.734	19.05
SL	8.617	-11.764
SN	15.138	-14.779
SO	3.569	45.192
SR	4.144	-55.911
SS	7.23	30.39
SV	13.685	-88.89
SY	35.007	38.278
SZ	-26.534	31.467
TD	15.143	18.645
TF	-49.304	69.122
TG	8.807	1.058
TH	15.46	101.073
TJ	38.2	72.587
TL	-8.804	125.855
TM	39.855	58.677
TN	33.687	9.008
TR	39.345	34.508
TT	10.999	-60.918
TW	23.652	120.868
TZ	-6.052	34.959
UA	49.725	32.141
UG	1.973	32.949
US	39.538	-97.483
UY	-32.961	-55.967
UZ	41.694	64.005
VE	7.182	-64.599
VN	21.715	105.387
VU	-15.372	166.909
XK	42.594	20.861
YE	15.328	45.874
ZA	-29.709	23.666
ZM	-14.661	26.395
ZW	-18.912	29.925
